district,price,area,room_count,budget,transport,distance,safety,features,social
Görükle,14860.0,124.8,3+1,0.8131594091693842,0.67,1.0,0.6599999999999999,0.6166666666666667,0.5872995780590717
Görükle,15840.0,75.8,2+1,0.7943602532131211,0.5900000000000001,1.0,0.67,0.7141666666666666,0.5185443037974684
Görükle,18200.0,128.1,3+1,0.7490888164204872,0.62,1.0,0.64,0.8266666666666667,0.5054219409282701
Görükle,17170.0,123.2,3+1,0.7688471129867639,0.72,0.8754716981132076,0.75,0.5558333333333333,0.44542194092827003
Görükle,9460.0,48.6,1+1,0.9167465950508344,0.62,1.0,0.64,0.9016666666666666,0.48776371308016875
Görükle,19820.0,139.6,4+1,0.7180126606560522,0.51,1.0,0.7,0.8133333333333332,0.5212869198312237
Görükle,16600.0,103.7,3+1,0.7797813159409169,0.58,0.9056603773584906,0.61,0.6766666666666666,0.4869831223628692
Görükle,20160.0,119.0,3+1,0.7114905045079609,0.5599999999999999,0.8188679245283019,0.5599999999999999,0.8899999999999999,0.4461181434599156
Görükle,5120.0,47.2,1+1,1.0,0.48,0.969811320754717,0.64,0.6116666666666666,0.4970675105485232
Görükle,14540.0,76.2,2+1,0.8192979090734702,0.53,0.7962264150943397,0.75,0.9066666666666667,0.5491772151898735
Görükle,15250.0,93.0,2+1,0.8056781124112795,0.63,1.0,0.62,0.7141666666666666,0.5209704641350211
Görükle,23770.0,148.8,4+1,0.6422405524649913,0.63,1.0,0.74,0.9299999999999999,0.5812025316455696
Görükle,13570.0,79.3,2+1,0.8379052369077307,0.52,0.9471698113207547,0.6799999999999999,0.8599999999999999,0.5269831223628691
Görükle,18020.0,123.4,3+1,0.7525417226165356,0.61,0.9773584905660377,0.64,0.7358333333333333,0.39542194092827004
Görükle,14630.0,73.5,2+1,0.817571455975446,0.58,1.0,0.5900000000000001,0.7024999999999999,0.4835443037974683
Görükle,10540.0,63.3,1+1,0.8960291578745444,0.55,0.8641509433962264,0.65,0.8433333333333333,0.4840928270042194
Görükle,12740.0,75.1,2+1,0.8538269710339536,0.6,0.8943396226415095,0.5599999999999999,0.8383333333333333,0.5156540084388186
Görükle,8650.0,61.0,1+1,0.932284672933052,0.6799999999999999,1.0,0.67,0.745,0.4796413502109705
Görükle,18920.0,114.0,3+1,0.7352771916362939,0.7,0.8716981132075472,0.5599999999999999,0.8433333333333333,0.5823839662447257
Görükle,13890.0,80.5,2+1,0.8317667370036448,0.5900000000000001,0.9509433962264151,0.64,0.6208333333333333,0.4633122362869198
Görükle,20770.0,128.1,3+1,0.6997889890657971,0.6900000000000001,1.0,0.65,0.7033333333333334,0.5607383966244726
Görükle,15240.0,93.8,2+1,0.8058699405332822,0.49000000000000005,1.0,0.73,0.7516666666666666,0.46955696202531644
Görükle,26750.0,151.0,4+1,0.5850757721081911,0.63,0.9471698113207547,0.62,0.6766666666666666,0.540506329113924
Görükle,22180.0,130.0,3+1,0.6727412238634184,0.6599999999999999,0.9509433962264151,0.6599999999999999,0.6441666666666667,0.4869831223628692
Görükle,22370.0,119.7,3+1,0.6690964895453673,0.65,1.0,0.61,0.7,0.4433966244725738
Görükle,8360.0,60.4,1+1,0.9378476884711299,0.54,0.8867924528301887,0.5599999999999999,0.7525,0.4775316455696203
Görükle,14210.0,87.7,2+1,0.8256282370995588,0.5599999999999999,1.0,0.71,0.82,0.41698312236286916
Görükle,9230.0,64.6,1+1,0.9211586418568962,0.67,0.9433962264150944,0.5599999999999999,0.6866666666666666,0.48120253164556964
Görükle,11300.0,63.8,1+1,0.8814502206023404,0.54,0.8528301886792453,0.71,0.85,0.45689873417721516
Görükle,14900.0,119.0,3+1,0.8123920966813735,0.6799999999999999,1.0,0.77,0.6325,0.5220675105485232
Görükle,17890.0,117.0,3+1,0.7550354882025705,0.78,0.9283018867924528,0.65,0.71,0.4680801687763713
Görükle,26880.0,160.8,4+1,0.5825820065221561,0.6799999999999999,0.9735849056603774,0.6900000000000001,0.7258333333333332,0.48862869198312237
Görükle,13540.0,77.0,2+1,0.8384807212737387,0.6599999999999999,1.0,0.73,0.7683333333333333,0.4530801687763713
Görükle,14890.0,73.0,2+1,0.8125839248033762,0.61,0.9358490566037736,0.63,0.7683333333333333,0.4594092827004219
Görükle,11610.0,75.2,2+1,0.875503548820257,0.5900000000000001,0.9132075471698113,0.73,0.8383333333333333,0.4274472573839663
Görükle,9080.0,52.9,1+1,0.9240360636869365,0.49000000000000005,0.8754716981132076,0.6799999999999999,0.9391666666666667,0.4930801687763713
