listing_id,district,room_count,area,building_age,floor,total_floors,price,distance_to_university_km,distance_to_center_km,distance_to_hospital_km,green_space_score,safety_score,public_transport_score,noise_level
1,Görükle,3+1,124.8,20,1,7,14860.0,0.0,13.4,6.0,7.4,6.6,6.7,6.1
2,Görükle,2+1,75.8,2,2,4,15840.0,0.0,15.0,5.3,6.7,6.7,5.9,6.5
3,Görükle,3+1,128.1,2,0,7,18200.0,0.0,14.2,7.3,6.1,6.4,6.2,7.7
4,Görükle,3+1,123.2,22,2,6,17170.0,3.3,14.2,5.0,4.9,7.5,7.2,6.3
5,Görükle,1+1,48.6,2,8,9,9460.0,0.0,14.8,5.7,6.0,6.4,6.2,7.8
6,Görükle,4+1,139.6,16,1,11,19820.0,0.0,12.5,5.3,5.7,7.0,5.1,6.5
7,Görükle,3+1,103.7,2,1,3,16600.0,2.5,14.6,7.1,5.9,6.1,5.8,6.7
8,Görükle,3+1,119.0,3,1,9,20160.0,4.8,16.3,5.3,5.8,5.6,5.6,6.8
9,Görükle,1+1,47.2,14,4,5,5120.0,0.8,12.7,5.6,5.3,6.4,4.8,5.2
10,Görükle,2+1,76.2,8,8,11,14540.0,5.4,12.6,5.7,6.3,7.5,5.3,6.3
11,Görükle,2+1,93.0,2,1,4,15250.0,0.0,13.7,5.8,6.2,6.2,6.3,7.4
12,Görükle,4+1,148.8,6,6,11,23770.0,0.0,14.4,5.9,7.7,7.4,6.3,5.8
13,Görükle,2+1,79.3,12,1,11,13570.0,1.4,14.6,4.6,6.7,6.8,5.2,6.1
14,Görükle,3+1,123.4,13,7,8,18020.0,0.6,14.2,7.2,3.9,6.4,6.1,6.8
15,Görükle,2+1,73.5,3,2,4,14630.0,0.0,15.0,5.7,6.0,5.9,5.8,7.7
16,Görükle,1+1,63.3,7,3,9,10540.0,3.6,14.5,6.7,5.8,6.5,5.5,7.4
17,Görükle,2+1,75.1,1,6,7,12740.0,2.8,14.9,7.5,6.6,5.6,6.0,5.4
18,Görükle,1+1,61.0,9,6,7,8650.0,0.0,14.0,5.0,5.5,6.7,6.8,7.0
19,Görükle,3+1,114.0,7,7,9,18920.0,3.4,11.5,5.5,6.5,5.6,7.0,6.8
20,Görükle,2+1,80.5,10,3,4,13890.0,1.3,14.3,6.2,5.3,6.4,5.9,6.8
21,Görükle,3+1,128.1,19,3,9,20770.0,0.0,13.0,6.2,6.7,6.5,6.9,7.3
22,Görükle,2+1,93.8,2,5,5,15240.0,0.0,15.9,5.6,6.1,7.3,4.9,5.4
23,Görükle,4+1,151.0,2,1,3,26750.0,1.4,12.3,4.2,6.0,6.2,6.3,7.1
24,Görükle,3+1,130.0,8,3,4,22180.0,1.3,14.6,5.4,5.9,6.6,6.6,6.1
25,Görükle,3+1,119.7,0,0,3,22370.0,0.0,12.4,4.8,4.1,6.1,6.5,6.2
26,Görükle,1+1,60.4,18,9,10,8360.0,3.0,14.1,5.3,5.5,5.6,5.4,6.2
27,Görükle,2+1,87.7,9,6,9,14210.0,0.0,14.6,5.9,4.5,7.1,5.6,6.0
28,Görükle,1+1,64.6,14,6,7,9230.0,1.5,14.4,7.1,5.7,5.6,6.7,6.2
